STIMP 4.1?m – Uphill (15?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,8,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,
1.5,11,11,11,14,14,,,,,,,,,,,,,,,,,,,,,,,
1.8,11,11,14,14,14,17,,,,,,,,,,,,,,,,,,,,,,
2.1,11,14,14,14,17,17,19,,,,,,,,,,,,,,,,,,,,,
2.4,14,14,14,17,17,17,19,,,,,,,,,,,,,,,,,,,,,
2.7,14,14,17,17,17,19,19,19,,,,,,,,,,,,,,,,,,,,
3,14,14,17,17,19,19,19,19,22,,,,,,,,,,,,,,,,,,,
3.3,17,17,17,19,19,19,19,22,22,22,,,,,,,,,,,,,,,,,,
3.6,17,17,19,19,19,19,22,22,22,22,25,,,,,,,,,,,,,,,,,
3.9,17,19,19,19,19,22,22,22,22,25,25,25,,,,,,,,,,,,,,,,
4.2,19,19,19,19,22,22,22,22,25,25,25,25,25,25,28,28,28,28,28,28,28,31,31,31,31,31,31,31
4.5,19,19,19,22,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31
4.8,19,19,22,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31
5.1,19,19,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31
5.4,19,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34
5.7,22,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34,34
6,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34,34,34
6.3,22,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34,34,34,34
6.6,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34
6.9,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34
7.2,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34
7.5,25,25,25,25,25,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37
7.8,25,25,25,25,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37
8.1,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37
8.4,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37
8.7,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37
9,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37
9.3,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37
9.6,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40
9.9,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40
10.2,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40
10.5,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40
10.8,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40
11.1,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40
11.4,31,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40
11.7,31,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43
12,31,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43
12.3,31,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43
12.6,31,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43
12.9,31,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43
13.2,31,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43
13.5,34,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43
13.8,34,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47
14.1,34,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47
14.4,34,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47
14.7,34,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47
15,34,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47
15.3,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47
15.6,37,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47
15.9,37,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50
16.2,37,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50
16.5,37,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50
