STIMP 2.7?m – Downhill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,12,11,9,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,14,12,11,9,,,,,,,,,,,,,,,,,,,,,,,,
1.8,14,14,12,11,9,,,,,,,,,,,,,,,,,,,,,,,
2.1,14,14,14,12,11,9,,,,,,,,,,,,,,,,,,,,,,
2.4,18,14,14,14,12,12,9,,,,,,,,,,,,,,,,,,,,,
2.7,18,18,14,14,14,12,12,11,9,,,,,,,,,,,,,,,,,,,
3,18,18,18,14,14,14,14,12,11,9,,,,,,,,,,,,,,,,,,
3.3,21,18,18,18,14,14,14,14,12,11,9,,,,,,,,,,,,,,,,,
3.6,21,21,18,18,18,14,14,14,14,12,12,9,9,,,,,,,,,,,,,,,
3.9,21,21,21,18,18,18,18,14,14,14,12,12,11,9,,,,,,,,,,,,,,
4.2,23,23,21,21,18,18,18,18,14,14,14,14,12,11,9,,,,,,,,,,,,,
4.5,23,23,23,21,21,18,18,18,18,14,14,14,14,12,11,9,,,,,,,,,,,,
4.8,23,23,23,23,21,21,21,18,18,18,14,14,14,14,12,11,9,,,,,,,,,,,
5.1,26,23,23,23,23,21,21,21,18,18,18,18,14,14,14,12,11,9,,,,,,,,,,
5.4,26,26,23,23,23,23,21,21,21,18,18,18,18,14,14,14,12,11,9,,,,,,,,,
5.7,26,26,26,23,23,23,23,23,21,21,18,18,18,18,14,14,14,12,11,9,,,,,,,,
6,26,26,26,26,23,23,23,23,23,21,21,21,18,18,18,14,14,14,12,11,9,,,,,,,
6.3,29,26,26,26,26,26,23,23,23,23,23,21,21,18,18,18,14,14,14,12,11,9,,,,,,
6.6,29,29,26,26,26,26,26,23,23,23,23,23,21,21,18,18,18,14,14,14,12,11,9,,,,,
6.9,29,29,29,26,26,26,26,26,23,23,23,23,23,21,21,18,18,18,14,14,14,12,11,9,,,,
7.2,29,29,29,29,26,26,26,26,26,26,23,23,23,23,21,21,18,18,18,14,14,14,12,11,9,,,
7.5,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,21,21,18,18,18,14,14,14,12,11,9,,
7.8,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,21,21,18,18,18,14,14,14,12,11,9,
8.1,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,21,21,18,18,18,14,14,14,12,11,9
8.4,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23,21,21,18,18,18,14,14,14,12,11
8.7,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21,21,18,18,18,14,14,14,12
9,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21,21,18,18,18,14,14,14
9.3,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21,21,18,18,18,14,14
9.6,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21,21,18,18,18,14
9.9,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21,21,18,18,18
10.2,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21,21,18,18
10.5,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21,21,18
10.8,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21,21
11.1,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23,21
11.4,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23,23
11.7,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23,23
12,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23,23
12.3,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,23
12.6,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26
12.9,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26,26
13.2,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26,26
13.5,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29,26
13.8,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,29
14.1,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29
14.4,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29
14.7,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29,29
15,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29,29
15.3,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32,29
15.6,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,32
15.9,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32
16.2,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32,32
16.5,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32,32
16.8,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32,32
