STIMP 3.7?m – Downhill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,11,9,8,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,13,11,9,8,,,,,,,,,,,,,,,,,,,,,,,,
2.1,13,13,11,9,8,,,,,,,,,,,,,,,,,,,,,,,
2.4,13,13,13,11,9,8,,,,,,,,,,,,,,,,,,,,,,
2.7,16,13,13,13,11,9,8,,,,,,,,,,,,,,,,,,,,,
3,16,16,13,13,13,11,9,8,,,,,,,,,,,,,,,,,,,,
3.3,16,16,16,13,13,11,11,9,8,,,,,,,,,,,,,,,,,,,
3.6,19,16,16,16,13,13,11,11,9,8,,,,,,,,,,,,,,,,,,
3.9,19,19,16,16,16,13,13,11,11,9,,,,,,,,,,,,,,,,,,
4.2,19,19,16,16,16,16,13,13,11,11,9,,,,,,,,,,,,,,,,,
4.5,19,19,19,16,16,16,16,13,13,11,11,9,,,,,,,,,,,,,,,,
4.8,19,19,19,19,16,16,16,16,13,13,11,11,9,,,,,,,,,,,,,,,
5.1,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,,,,,,,,,
5.4,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,,,,,,,,
5.7,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,,,,,,,
6,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,,,,,,
6.3,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,,,,,
6.6,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,,,,
6.9,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,,,
7.2,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,,
7.5,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,,
7.8,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,,
8.1,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,,
8.4,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,,
8.7,29,29,25,25,25,25,25,25,22,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,,
9,29,29,25,25,25,25,25,25,25,22,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9,
9.3,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11,9
9.6,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11,11
9.9,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13,11
10.2,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13,13
10.5,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13,13
10.8,32,32,32,32,29,29,29,29,25,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,13
11.1,32,32,32,32,32,29,29,29,29,25,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16
11.4,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16
11.7,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,16
12,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19
12.3,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19
12.6,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19
12.9,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19
13.2,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22
13.5,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22,22
13.8,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22,22
14.1,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25,22
14.4,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25,25
14.7,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25,25
15,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25,25
15.3,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25,25
15.6,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25,25
15.9,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25,25
16.2,44,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,25
16.5,44,44,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29
16.8,44,44,44,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29
17.1,44,44,44,44,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29
17.4,47,44,44,44,44,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29
