STIMP 3.2?m – Downhill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,14,11,11,10,8,,,,,,,,,,,,,,,,,,,,,,,
2.1,14,14,11,11,10,8,,,,,,,,,,,,,,,,,,,,,,
2.4,14,14,14,11,11,10,8,,,,,,,,,,,,,,,,,,,,,
2.7,17,14,14,14,11,11,10,8,,,,,,,,,,,,,,,,,,,,
3,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,,,,,,,,
3.3,17,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,,,,,,,
3.6,20,17,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,,,,,,
3.9,20,20,17,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,,,,,
4.2,20,20,20,17,17,17,14,14,14,11,11,11,8,,,,,,,,,,,,,,,
4.5,20,20,20,20,17,17,17,17,14,14,11,11,11,8,,,,,,,,,,,,,,
4.8,23,20,20,20,20,17,17,17,17,14,14,11,11,11,8,,,,,,,,,,,,,
5.1,23,23,20,20,20,20,17,17,17,17,14,14,14,11,11,8,,,,,,,,,,,,
5.4,23,23,23,20,20,20,20,17,17,17,17,14,14,14,11,11,8,,,,,,,,,,,
5.7,23,23,23,23,20,20,20,20,17,17,17,17,14,14,14,11,11,8,,,,,,,,,,
6,26,23,23,23,23,20,20,20,20,20,17,17,17,14,14,14,11,11,8,,,,,,,,,
6.3,26,26,23,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8,,,,,,,,
6.6,26,26,26,23,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8,,,,,,,
6.9,26,26,26,26,23,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8,,,,,,
7.2,26,26,26,26,26,23,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8,,,,,
7.5,29,26,26,26,26,26,23,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8,,,,
7.8,29,29,26,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8,,,
8.1,29,29,29,26,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8,,
8.4,29,29,29,29,26,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8,
8.7,29,29,29,29,29,26,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11,8
9,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11,11
9.3,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14,14,14,11
9.6,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14,14,14
9.9,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14,14
10.2,32,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,14
10.5,35,32,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17
10.8,35,35,32,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17
11.1,35,35,35,32,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17
11.4,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,20
11.7,35,35,35,35,35,32,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20
12,38,35,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20
12.3,38,38,35,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20
12.6,38,38,38,35,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23,23
12.9,38,38,38,38,35,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23,23
13.2,38,38,38,38,38,35,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23,23
13.5,41,38,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26,23
13.8,41,41,38,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26,26,26
14.1,41,41,41,38,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26,26
14.4,41,41,41,41,38,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26,26
14.7,41,41,41,41,41,38,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26,26
15,44,41,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29,26
15.3,44,44,41,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29,29
15.6,44,44,44,41,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29,29
15.9,44,44,44,44,41,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29,29
16.2,44,44,44,44,44,41,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29,29
16.5,47,44,44,44,44,44,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32,29
16.8,47,47,44,44,44,44,44,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32,32
17.1,47,47,47,44,44,44,44,44,44,41,41,41,41,41,38,38,38,38,38,35,35,35,35,35,32,32,32,32
