STIMP 2.7?m – Uphill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,9,12,14,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,11,12,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1.2,12,14,14,14,18,18,,,,,,,,,,,,,,,,,,,,,,
1.5,14,14,14,14,18,18,18,,,,,,,,,,,,,,,,,,,,,
1.8,14,14,14,18,18,18,21,21,,,,,,,,,,,,,,,,,,,,
2.1,14,14,18,18,18,21,21,23,23,23,,,,,,,,,,,,,,,,,,
2.4,18,18,18,18,21,21,23,23,23,23,23,,,,,,,,,,,,,,,,,
2.7,18,18,18,21,21,23,23,23,23,23,26,26,,,,,,,,,,,,,,,,
3,18,18,21,21,23,23,23,23,23,26,26,26,26,,,,,,,,,,,,,,,
3.3,21,21,21,23,23,23,23,23,26,26,26,26,26,29,29,29,29,29,32,32,32,32,35,35,35,35,35,35
3.6,21,21,23,23,23,23,26,26,26,26,26,26,29,29,29,29,29,32,32,32,32,35,35,35,35,35,35,38
3.9,21,23,23,23,23,26,26,26,26,26,29,29,29,29,29,29,32,32,32,32,35,35,35,35,35,35,38,38
4.2,23,23,23,23,26,26,26,26,26,29,29,29,29,29,29,32,32,32,32,35,35,35,35,35,35,38,38,38
4.5,23,23,23,26,26,26,26,26,29,29,29,29,29,29,32,32,32,32,35,35,35,35,35,35,38,38,38,38
4.8,23,23,26,26,26,26,26,29,29,29,29,29,29,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41
5.1,26,26,26,26,26,26,29,29,29,29,29,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41
5.4,26,26,26,26,29,29,29,29,29,29,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41,41
5.7,26,26,26,29,29,29,29,29,29,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41,41,41
6,26,26,29,29,29,29,29,29,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41
6.3,29,29,29,29,29,29,32,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44
6.6,29,29,29,29,29,32,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44,44
6.9,29,29,29,29,32,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44,44,44
7.2,29,29,32,32,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44,44,44,44
7.5,29,32,32,32,32,32,32,32,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44,44,44,44,47
7.8,32,32,32,32,32,32,35,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44,44,44,44,47,47
8.1,32,32,32,32,32,35,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44,44,44,44,47,47,47
8.4,32,32,32,32,35,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44,44,44,44,47,47,47,47
8.7,32,32,32,35,35,35,35,35,35,35,38,38,38,38,41,41,41,41,41,44,44,44,44,47,47,47,47,47
9,32,35,35,35,35,35,35,35,38,38,38,38,38,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50
9.3,35,35,35,35,35,35,35,38,38,38,38,38,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50,50
9.6,35,35,35,35,35,35,38,38,38,38,38,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50,50,50
9.9,35,35,35,35,35,38,38,38,38,38,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50,50,50,50
10.2,35,35,35,35,38,38,38,38,41,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50,50,50,50,53
10.5,35,35,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50,50,50,50,53,53
10.8,35,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50,50,50,50,53,53,53
11.1,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50,50,50,50,53,53,53,53
11.4,38,38,38,38,41,41,41,41,41,41,44,44,44,44,47,47,47,47,47,50,50,50,50,53,53,53,53,53
11.7,38,38,41,41,41,41,41,41,44,44,44,44,44,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56
12,38,41,41,41,41,41,41,44,44,44,44,44,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56,56
12.3,41,41,41,41,41,41,44,44,44,44,44,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56,56,56
12.6,41,41,41,41,41,44,44,44,44,44,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56,56,56,56
12.9,41,41,41,41,44,44,44,44,47,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56,56,56,56,59
13.2,41,41,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56,56,56,56,59,59
13.5,41,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56,56,56,56,59,59,59
13.8,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56,56,56,56,59,59,59,59
14.1,44,44,44,44,47,47,47,47,47,47,50,50,50,50,53,53,53,53,53,56,56,56,56,59,59,59,59,59
14.4,44,44,47,47,47,47,47,47,50,50,50,50,50,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62
14.7,44,47,47,47,47,47,47,50,50,50,50,50,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62,62
15,47,47,47,47,47,47,50,50,50,50,50,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62,62,62
15.3,47,47,47,47,47,50,50,50,50,50,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62,62,62,62
15.6,47,47,47,47,50,50,50,50,53,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62,62,62,62,62
15.9,47,47,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62,62,62,62,62,65
16.2,47,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62,62,62,62,62,65,65
