STIMP 2.9?m – Downhill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,13,12,10,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,13,13,12,10,9,,,,,,,,,,,,,,,,,,,,,,,
2.1,13,13,13,12,10,9,,,,,,,,,,,,,,,,,,,,,,
2.4,17,13,13,13,12,10,9,,,,,,,,,,,,,,,,,,,,,
2.7,17,17,13,13,13,12,10,10,,,,,,,,,,,,,,,,,,,,
3,17,17,17,13,13,13,13,13,10,,,,,,,,,,,,,,,,,,,
3.3,20,17,17,17,13,13,13,13,12,10,9,,,,,,,,,,,,,,,,,
3.6,20,20,17,17,17,17,13,13,13,12,10,9,,,,,,,,,,,,,,,,
3.9,20,20,20,17,17,17,17,13,13,13,12,10,10,,,,,,,,,,,,,,,
4.2,23,20,20,20,20,17,17,17,13,13,13,12,10,10,,,,,,,,,,,,,,
4.5,23,23,20,20,20,20,17,17,17,13,13,13,12,10,10,,,,,,,,,,,,,
4.8,23,23,23,20,20,20,20,17,17,17,13,13,13,12,10,10,,,,,,,,,,,,
5.1,23,23,23,23,20,20,20,20,17,17,17,17,13,13,12,10,10,,,,,,,,,,,
5.4,26,23,23,23,23,20,20,20,20,17,17,17,17,13,13,12,10,10,,,,,,,,,,
5.7,26,26,23,23,23,23,20,20,20,20,20,17,17,17,13,13,12,10,10,,,,,,,,,
6,26,26,26,23,23,23,23,23,20,20,20,20,17,17,17,13,13,12,10,10,,,,,,,,
6.3,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,13,13,12,10,10,,,,,,,
6.6,29,26,26,26,26,26,23,23,23,23,20,20,20,20,17,17,17,13,13,12,10,10,,,,,,
6.9,29,29,26,26,26,26,26,23,23,23,23,23,20,20,20,17,17,17,13,13,12,10,10,,,,,
7.2,29,29,29,26,26,26,26,26,23,23,23,23,23,20,20,20,17,17,17,13,13,12,10,10,,,,
7.5,29,29,29,29,26,26,26,26,26,23,23,23,23,23,20,20,20,17,17,17,13,13,12,10,10,,,
7.8,29,29,29,29,29,26,26,26,26,26,23,23,23,23,23,20,20,20,17,17,17,13,13,12,10,10,,
8.1,32,29,29,29,29,29,26,26,26,26,26,26,23,23,23,23,20,20,20,17,17,17,13,13,12,10,10,
8.4,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,17,17,17,13,13,12,10,10
8.7,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,17,17,17,13,13,12,10
9,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,17,17,17,13,13,12
9.3,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,17,17,17,13,13
9.6,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,17,17,17,13
9.9,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,17,17,17
10.2,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,17,17
10.5,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20,17
10.8,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20,20
11.1,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20,20
11.4,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23,20
11.7,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23,23
12,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23,23
12.3,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23,23
12.6,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26,23
12.9,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26,26
13.2,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26,26
13.5,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26,26
13.8,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26,26
14.1,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29,26
14.4,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29,29
14.7,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29,29
15,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29,29
15.3,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29,29
15.6,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29,29
15.9,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32,29
16.2,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32,32
16.5,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32,32
16.8,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32,32
17.1,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35,32
